name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
47 Ursae Majoris c,45.0,5.03352,Gas Giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial Velocity
47 Ursae Majoris d,45.0,5.03352,Gas Giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial Velocity
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial Velocity
51 Eridani b,97.0,5.21149,Gas Giant,2015,2.0,Jupiter,1.19,Jupiter,13.2,32.0,0.45,Direct Imaging
51 Pegasi b,50.0,5.45309,Gas Giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial Velocity
55 Cancri b,41.0,5.95084,Gas Giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0.0,Radial Velocity
55 Cancri c,41.0,5.95084,Gas Giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial Velocity
55 Cancri d,41.0,5.95084,Gas Giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial Velocity
55 Cancri e,41.0,5.95084,Super Earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial Velocity
55 Cancri f,41.0,5.95084,Gas Giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial Velocity
61 Virginis b,28.0,4.6955,Neptune-like,2009,5.1,Earth,2.11,Earth,0.050201,0.011498973,0.12,Radial Velocity
61 Virginis c,28.0,4.6955,Neptune-like,2009,18.2,Earth,0.398,Jupiter,0.2175,0.10403833,0.14,Radial Velocity
61 Virginis d,28.0,4.6955,Neptune-like,2009,22.9,Earth,0.456,Jupiter,0.476,0.33675563,0.35,Radial Velocity
6 Lyncis b,178.0,5.87307,Gas Giant,2008,2.01,Jupiter,1.19,Jupiter,2.11,2.6,0.07,Radial Velocity
70 Virginis b,58.0,4.96808,Gas Giant,1996,7.49,Jupiter,1.13,Jupiter,0.481,0.31950718,0.4,Radial Velocity
75 Ceti b,271.0,5.3532,Gas Giant,2012,3.0,Jupiter,1.17,Jupiter,2.1,1.9,0.12,Radial Velocity
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,1.85,Jupiter,1.2,Jupiter,1.758,2.0,0.06,Radial Velocity
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,0.87,Jupiter,1.24,Jupiter,2.153,2.7,0.08,Radial Velocity
81 Ceti b,330.0,5.64307,Gas Giant,2008,5.3,Jupiter,1.14,Jupiter,2.5,2.6,0.21,Radial Velocity
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,1.31,Jupiter,1.22,Jupiter,0.49,0.25571528,0.06,Radial Velocity
91 Aquarii b,144.0,4.23946,Gas Giant,2013,3.2,Jupiter,1.17,Jupiter,0.7,0.4966461,0.03,Radial Velocity
AB Aurigae b,529.0,7.076,Gas Giant,2022,9.0,Jupiter,1.12,Jupiter,93.9,587.7,0.4,Direct Imaging
AB Pictoris b,163.0,9.13,Gas Giant,2005,13.5,Jupiter,1.1,Jupiter,260.0,4421.7,0.0,Direct Imaging
Alpha Arietis b,66.0,2.00538,Gas Giant,2010,1.8,Jupiter,1.2,Jupiter,1.2,1.0425736,0.25,Radial Velocity
Alpha Tauri b,67.0,0.872,Gas Giant,2015,6.47,Jupiter,1.13,Jupiter,1.46,1.7,0.1,Radial Velocity
AU Microscopii b,32.0,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit
AU Microscopii c,32.0,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit
b Centauri AB b,320.0,4.01,Gas Giant,2021,10.9,Jupiter,1.11,Jupiter,556.0,4904.1,0.4,Direct Imaging
BD-00 4475 b,139.0,9.01,Gas Giant,2021,25.05,Jupiter,1.07,Jupiter,1.48,2.0,0.39,Radial Velocity
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial Velocity
BD-06 1339 c,66.0,9.7,Gas Giant,2013,0.17,Jupiter,0.747,Jupiter,0.435,0.34469542,0.31,Radial Velocity
BD-08 2823 b,135.0,9.86,Neptune-like,2009,12.7132,Earth,0.322,Jupiter,0.06,0.015331964,0.15,Radial Velocity
BD-08 2823 c,135.0,9.86,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,0.68,0.65051335,0.19,Radial Velocity
BD-10 3166 b,275.0,10.013,Gas Giant,2000,0.59,Jupiter,1.26,Jupiter,0.04,0.009582478,0.02,Radial Velocity
BD-11 4672 b,89.0,10.03,Gas Giant,2014,0.65,Jupiter,1.25,Jupiter,2.36,4.5,0.05,Radial Velocity
BD-11 4672 c,89.0,10.03,Neptune-like,2020,15.37,Earth,0.36,Jupiter,0.3,0.20314851,0.4,Radial Velocity
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial Velocity
BD+14 4559 b,161.0,9.78,Gas Giant,2009,1.04,Jupiter,1.23,Jupiter,0.78,0.7362081,0.29,Radial Velocity
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0.0,Radial Velocity
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial Velocity
BD-17 63 b,112.0,9.62,Gas Giant,2008,5.1,Jupiter,1.15,Jupiter,1.34,1.8,0.54,Radial Velocity
BD+20 2457 b,5023.0,9.743,Gas Giant,2009,55.59,Jupiter,1.03,Jupiter,1.05,1.0392882,0.15,Radial Velocity
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial Velocity
BD+20 274 b,4314.0,9.367,Gas Giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial Velocity
BD+20 594 b,585.0,10.849,Neptune-like,2016,22.2481,Earth,0.23,Jupiter,0.241,0.11416838,0.0,Transit
BD+45 564 b,175.0,9.67,Gas Giant,2021,1.36,Jupiter,1.21,Jupiter,0.83,0.84298426,0.12,Radial Velocity
BD+48 738 b,2843.0,9.139,Gas Giant,2011,0.91,Jupiter,1.24,Jupiter,1.0,1.0748802,0.2,Radial Velocity
BD+48 740 b,2174.0,8.69,Gas Giant,2018,1.7,Jupiter,1.2,Jupiter,1.7,2.0,0.76,Radial Velocity
BD+49 828 b,1442.0,9.381,Gas Giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial Velocity
BD+55 362 b,171.0,9.38,Gas Giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial Velocity
BD+60 1417 b,147.0,9.374,Gas Giant,2021,15.0,Jupiter,1.31,Jupiter,1662.0,67794.6,0.0,Direct Imaging
BD+63 1405 b,124.0,8.96,Gas Giant,2021,3.96,Jupiter,1.16,Jupiter,2.06,3.3,0.88,Radial Velocity
Beta Cancri b,290.0,3.51012,Gas Giant,2014,7.8,Jupiter,1.12,Jupiter,1.7,1.7,0.08,Radial Velocity
Beta Pictoris b,64.0,3.85,Gas Giant,2008,11.73313,Jupiter,1.65,Jupiter,10.019926,23.6,0.11,Direct Imaging
Beta Pictoris c,64.0,3.85,Gas Giant,2019,10.14112,Jupiter,1.11,Jupiter,2.680483,3.3,0.31,Radial Velocity
Beta Ursae Minoris b,126.0,2.0569,Gas Giant,2014,6.1,Jupiter,1.14,Jupiter,1.4,1.4,0.19,Radial Velocity
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity
CFBDSIR J145829+101343 b,75.0,,Gas Giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0.0,Direct Imaging
CFHTWIR-Oph 98 b,,,Gas Giant,2021,7.8,Jupiter,1.86,Jupiter,200.0,22027.4,0.0,Direct Imaging
CHXR 73 b,621.0,,Gas Giant,2006,12.569,Jupiter,1.1,Jupiter,210.0,5146.9,0.0,Direct Imaging
CI Tauri b,515.0,13.642,Gas Giant,2019,11.6,Jupiter,1.11,Jupiter,,0.024640657,0.25,Radial Velocity
COCONUTS-2 b,36.0,11.298,Gas Giant,2021,6.3,Jupiter,1.11,Jupiter,7506.0,1101369.9,0.0,Direct Imaging
CoRoT-10 b,1104.0,15.293,Gas Giant,2010,2.75,Jupiter,0.97,Jupiter,0.1055,0.03613963,0.53,Transit
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0.0,Transit
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit
CoRoT-18 b,2495.0,14.868,Gas Giant,2011,3.47,Jupiter,1.31,Jupiter,0.0295,0.005201916,0.08,Transit
CoRoT-19 b,2579.0,14.135,Gas Giant,2011,1.11,Jupiter,1.29,Jupiter,0.0518,0.010677618,0.05,Transit
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0.0,Transit
CoRoT-20 b,2753.0,14.63,Gas Giant,2011,4.3,Jupiter,0.84,Jupiter,0.09,0.025188226,0.59,Transit
CoRoT-20 c,2753.0,14.63,Gas Giant,2018,17.0,Jupiter,1.09,Jupiter,2.9,4.6,0.6,Radial Velocity
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,12.2,Earth,0.435,Jupiter,0.092,0.026830938,0.08,Transit
CoRoT-23 b,3461.0,15.675,Gas Giant,2011,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,Transit
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0.0,Transit
CoRoT-24 c,1930.0,15.383,Neptune-like,2014,28.0,Earth,0.44,Jupiter,0.098,0.03230664,0.0,Transit
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit
CoRoT-27 b,3296.0,15.774,Gas Giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit
CoRoT-2 b,696.0,12.516,Gas Giant,2008,3.47,Jupiter,1.466,Jupiter,0.02798,0.0046543465,0.01,Transit
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit
CoRoT-31 b,6543.0,15.479,Gas Giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit
CoRoT-3 b,2508.0,13.448,Gas Giant,2008,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0.0,Transit
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit
CoRoT-5 b,2879.0,14.043,Gas Giant,2009,0.467,Jupiter,1.388,Jupiter,0.04947,0.0109514035,0.09,Transit
CoRoT-6 b,2105.0,13.961,Gas Giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial Velocity
CoRoT-7 d,522.0,11.728,Neptune-like,2022,17.142,Earth,0.384,Jupiter,,0.024640657,0.0,Radial Velocity
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,Transit
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0.0,Transit
CT Chamaleontis b,622.0,12.335,Gas Giant,2007,17.0,Jupiter,2.2,Jupiter,440.0,0.99931556,0.0,Direct Imaging
DE Canum Venaticorum b,100.0,12.956,Gas Giant,2018,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0.0,Eclipse Timing Variations
DENIS-P J082303.1-491201 b,68.0,,Gas Giant,2013,28.5,Jupiter,1.06,Jupiter,0.36,0.67460644,0.35,Astrometry
DH Tauri b,440.0,13.98,Gas Giant,2004,11.0,Jupiter,2.7,Jupiter,330.0,10441.5,0.0,Direct Imaging
DMPP-1 b,204.0,7.98,Neptune-like,2019,24.27,Earth,0.472,Jupiter,0.1462,0.050924025,0.083,Radial Velocity
DMPP-1 c,204.0,7.98,Neptune-like,2019,9.6,Earth,0.273,Jupiter,0.0733,0.018069815,0.057,Radial Velocity
DMPP-1 d,204.0,7.98,Super Earth,2019,3.35,Earth,1.65,Earth,0.0422,0.007939767,0.07,Radial Velocity
DMPP-1 e,204.0,7.98,Super Earth,2019,4.13,Earth,1.86,Earth,0.0651,0.015058179,0.07,Radial Velocity
DMPP-2 b,450.0,8.57,Gas Giant,2019,0.437,Jupiter,1.28,Jupiter,0.0664,0.014236824,0.08,Radial Velocity
DMPP-3 A b,148.0,9.066,Super Earth,2019,2.58,Earth,1.41,Earth,0.0662,0.0183436,0.14,Radial Velocity
DP Leonis b,997.0,18.6837,Gas Giant,2009,6.28,Jupiter,1.14,Jupiter,8.19,28.0,0.39,Eclipse Timing Variations
DS Tucanae A b,144.0,8.17,Neptune-like,2019,1.3,Jupiter,0.509,Jupiter,,0.022176592,0.0,Transit
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0.0,Transit
EPIC 201238110 b,520.0,16.014,Super Earth,2019,4.16,Earth,1.87,Earth,,0.077207394,0.0,Transit
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,2.86,Earth,1.5,Earth,,0.0019164955,0.0,Transit
EPIC 201497682 b,825.0,13.948,Terrestrial,2019,0.26,Earth,0.692,Earth,,0.0057494864,0.0,Transit
EPIC 201595106 b,757.0,11.746,Super Earth,2021,2.24,Earth,1.3,Earth,,0.0024640656,0.0,Transit
EPIC 201615463 c,1556.0,12.081,Super Earth,2019,1.98,Earth,1.22,Earth,,0.010403832,0.0,Transit
EPIC 201754305 d,1093.0,14.668,Super Earth,2019,1.08,Earth,1.03,Earth,,0.0073921974,0.0,Transit
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit
EPIC 201833600 c,840.0,14.705,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0109514035,0.0,Transit
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0.0,Transit
EPIC 205950854 c,796.0,12.365,Super Earth,2019,2.27,Earth,1.31,Earth,,0.022176592,0.0,Transit
EPIC 206024342 b,1207.0,13.096,Super Earth,2019,3.53,Earth,1.7,Earth,,0.0123203285,0.0,Transit
EPIC 206024342 c,1207.0,13.096,Super Earth,2021,2.54,Earth,1.4,Earth,,0.0024640656,0.0,Transit
EPIC 206024342 d,1207.0,13.096,Neptune-like,2021,7.27,Earth,0.232,Jupiter,,0.039972622,0.0,Transit
EPIC 206032309 b,526.0,17.89,Super Earth,2019,1.01,Earth,1.01,Earth,,0.007939767,0.0,Transit
EPIC 206042996 b,1474.0,16.59,Super Earth,2019,3.53,Earth,1.7,Earth,,0.01451061,0.0,Transit
EPIC 206042996 c,1474.0,16.59,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0010951404,0.0,Transit
EPIC 206215704 b,358.0,17.83,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0062970566,0.0,Transit
EPIC 206317286 b,1025.0,14.005,Terrestrial,2019,0.84,Earth,0.96,Earth,,0.0043805614,0.0,Transit
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,5.03,Earth,2.094,Earth,,0.04791239,0.0,Transit
EPIC 211822797 b,607.0,15.133,Super Earth,2016,4.35,Earth,1.92,Earth,0.1195,0.05804244,0.06,Transit
EPIC 211945201 b,593.0,10.154,Neptune-like,2018,27.0,Earth,0.514,Jupiter,0.1493,0.05338809,0.0,Transit
EPIC 212297394 b,1365.0,14.611,Super Earth,2019,2.79,Earth,1.48,Earth,,0.0062970566,0.0,Transit
EPIC 212297394 c,1365.0,14.611,Neptune-like,2016,5.77,Earth,0.203,Jupiter,,0.014236824,0.0,Transit
EPIC 212424622 b,1996.0,13.441,Neptune-like,2019,5.35,Earth,2.17,Earth,,0.0495551,0.0,Transit
EPIC 212499991 b,924.0,13.672,Super Earth,2019,3.19,Earth,1.6,Earth,,0.095551,0.0,Transit
EPIC 212587672 b,1044.0,12.488,Super Earth,2019,2.13,Earth,1.26,Earth,,0.041889116,0.0,Transit
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,5.99,Earth,0.207,Jupiter,,0.06351814,0.0,Transit
EPIC 212624936 b,1833.0,13.976,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0016427105,0.0,Transit
EPIC 212624936 c,1833.0,13.976,Neptune-like,2021,5.9,Earth,0.205,Jupiter,,0.03230664,0.0,Transit
EPIC 212737443 b,1097.0,14.81,Neptune-like,2019,7.2,Earth,0.231,Jupiter,0.098,0.037234772,0.2,Transit
EPIC 212737443 c,1097.0,14.81,Neptune-like,2019,7.7,Earth,0.24,Jupiter,0.28,0.17960301,0.2,Transit
EPIC 220492298 b,2037.0,13.991,Terrestrial,2021,0.937,Earth,0.99,Earth,,0.0021902807,0.0,Transit
EPIC 220554210 c,1619.0,14.21,Super Earth,2019,3.19,Earth,1.6,Earth,,0.0019164955,0.0,Transit
EPIC 220674823 b,798.0,12.101,Super Earth,2016,7.72,Earth,1.6,Earth,0.01312,0.0016427105,0.0,Transit
EPIC 220674823 c,798.0,12.101,Neptune-like,2016,5.8,Earth,2.2,Earth,0.1091,0.036413416,0.18,Transit
EPIC 228836835 b,490.0,16.77,Super Earth,2021,1.37,Earth,1.1,Earth,,0.0019164955,0.0,Transit
EPIC 246851721 b,1216.0,11.237,Gas Giant,2018,3.0,Jupiter,1.051,Jupiter,0.07229,0.016974675,0.0,Transit
EPIC 248847494 b,1800.0,12.353,Gas Giant,2018,13.0,Jupiter,1.11,Jupiter,4.5,10.0,0.0,Transit
EPIC 249893012 b,1048.0,11.429,Super Earth,2020,8.75,Earth,1.95,Earth,0.047,0.009856262,0.06,Transit
EPIC 249893012 c,1048.0,11.429,Neptune-like,2020,14.67,Earth,0.327,Jupiter,0.13,0.042710472,0.07,Transit
EPIC 249893012 d,1048.0,11.429,Neptune-like,2020,10.18,Earth,0.352,Jupiter,0.22,0.097741276,0.15,Transit
Epsilon Coronae Borealis b,228.0,4.12577,Gas Giant,2012,6.7,Jupiter,1.13,Jupiter,1.3,1.1441479,0.11,Radial Velocity
Epsilon Eridani b,10.0,3.71548,Gas Giant,2000,0.66,Jupiter,1.25,Jupiter,3.53,7.3,0.07,Radial Velocity
Epsilon Indi A b,12.0,4.69,Gas Giant,2019,3.25,Jupiter,1.17,Jupiter,11.55,45.2,0.26,Radial Velocity
Epsilon Tauri b,155.0,3.523,Gas Giant,2006,7.6,Jupiter,1.13,Jupiter,1.93,1.6,0.15,Radial Velocity
FU Tauri b,435.0,,Gas Giant,2008,16.0,Jupiter,1.09,Jupiter,800.0,101250.8,0.0,Direct Imaging
G 264-012 b,52.0,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0.0,Radial Velocity
G 264-012 c,52.0,13.078,Super Earth,2021,3.75,Earth,1.76,Earth,0.0525,0.022176592,0.0,Radial Velocity
G 9-40 b,91.0,13.821,Super Earth,2019,4.76,Earth,2.025,Earth,0.0385,0.015605749,0.0,Transit
Gaia-1 b,1186.0,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0.0,Transit
Gaia-2 b,683.0,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0.0,Transit
gam1 Leonis b,130.0,1.99509,Gas Giant,2009,8.78,Jupiter,1.12,Jupiter,1.19,1.173169,0.14,Radial Velocity
Gamma Cephei b,46.0,3.23006,Gas Giant,2003,9.4,Jupiter,1.12,Jupiter,2.05,2.5,0.05,Radial Velocity
Gamma Librae b,155.0,3.90672,Gas Giant,2018,1.02,Jupiter,1.23,Jupiter,1.24,1.1367557,0.21,Radial Velocity
Gamma Librae c,155.0,3.90672,Gas Giant,2018,4.58,Jupiter,1.15,Jupiter,2.17,2.6,0.06,Radial Velocity
Gamma Piscium b,135.0,3.69252,Gas Giant,2021,1.34,Jupiter,1.22,Jupiter,1.32,1.5,0.2,Radial Velocity
GJ 1002 b,16.0,13.76,Super Earth,2022,1.08,Earth,1.03,Earth,0.0457,0.028199865,0.0,Radial Velocity
GJ 1002 c,16.0,13.76,Super Earth,2022,1.36,Earth,1.1,Earth,0.0738,0.05804244,0.0,Radial Velocity
GJ 1061 b,12.0,12.7,Super Earth,2020,1.37,Earth,1.1,Earth,0.021,0.008761123,0.31,Radial Velocity
GJ 1061 c,12.0,12.7,Super Earth,2020,1.74,Earth,1.18,Earth,0.035,0.0183436,0.29,Radial Velocity
GJ 1061 d,12.0,12.7,Super Earth,2020,1.64,Earth,1.16,Earth,0.054,0.03559206,0.53,Radial Velocity
GJ 1132 b,41.0,13.68,Super Earth,2015,1.66,Earth,1.13,Earth,0.0153,0.0043805614,0.22,Transit
GJ 1132 c,41.0,13.68,Super Earth,2018,2.64,Earth,1.43,Earth,0.0476,0.02436687,0.27,Radial Velocity
GJ 1148 b,36.0,11.939,Gas Giant,2010,0.30425,Jupiter,1.07,Jupiter,0.166,0.113347024,0.38,Radial Velocity
GJ 1148 c,36.0,11.939,Gas Giant,2017,0.21414,Jupiter,0.866,Jupiter,0.912,1.5,0.34,Radial Velocity
GJ 1151 c,26.0,13.76,Neptune-like,2023,10.62,Earth,0.29,Jupiter,0.5714,1.0669404,0.0,Radial Velocity
GJ 1214 b,48.0,15.1,Neptune-like,2009,8.17,Earth,0.245,Jupiter,0.0149,0.0043805614,0.063,Transit
GJ 1252 b,66.0,12.68,Super Earth,2020,1.32,Earth,1.18,Earth,0.00915,0.0013689254,0.0,Transit
GJ 1265 b,33.0,14.01,Neptune-like,2018,7.4,Earth,0.234,Jupiter,0.026,0.010130048,0.04,Radial Velocity
GJ 143 b,53.0,8.08,Neptune-like,2019,22.7,Earth,0.233,Jupiter,0.1915,0.09746748,0.19,Transit
GJ 15 A b,12.0,8.09,Super Earth,2014,3.03,Earth,1.55,Earth,0.072,0.031211497,0.09,Radial Velocity
